name;category;description;price;price_old;gender;season;material
Leather Embroidered Slide Sandals - Blue;Shoes;These slide sandals in blue are made with genuine leather and feature embroidered flowers on the wide-strap uppers, cut-out details, open square toes and very low block heels. Pair them with sun hats and lightweight dresses during the warmer months.;90;90;Women;Spring;Nappa Calf Leather
Leather Embroidered Slide Sandals - White;Shoes;These slide sandals in white are made with genuine leather and feature embroidered flowers on the wide-strap uppers, cut-out details, open square toes and very low block heels. Pair them with sun hats and lightweight dresses during the warmer months.;90;90;Women;Spring;Nappa Calf Leather
Toe-Ring Strappy Heels;Shoes;Simple yet elegant, these minimalist heeled sandals are designed for both comfort and style. Featuring a strappy design that is elevated by metallic toe-ring details, this pair in rich maroon are versatile and striking at the same time.;80;100;Women;Spring;Natural PU
Ellory Mesh Thong Slingback Sandals;Shoes;These Ellory thong sandals in red feature a pared-back design, breathable mesh panels, elasticised slingback straps, open toes and flat soles. They are perfect for adding a bold pop of colour that will liven up your casual off-duty looks.;100;100;Women;Summer;Mesh
Mesh Contrast-Trim Chunky Sneakers;Shoes;The classic white sneaker gets a trendy update with these mesh chunky sneakers. Featuring a soothing colour palette of whites and greys, this distinctive pair -- with mesh panels and contrast trims -- stands out while being versatile enough to pair well with an array of looks.;90;120;Women;Autumn;Mesh
Imani Polka-Dot Slingback Flats;Shoes;These Imani Mary Jane slingback flats in dark brown feature a playful polka-dotted finish, adjustable straps across the insteps, polished silver buckles, covered round toes, elasticised slingback straps and comfortable flat soles. Versatile yet distinctive, they will add an eye-catching element to relaxed warm-weather outfits.;80;90;Women;Autumn;Printed Fabric
Kaia Patent Slingback Pumps;Shoes;These Kaia slingback pumps in chalk feature a patent finish, sharp pointed toes, adjustable buckled slingback straps and mid stiletto heels. A wardrobe classic, they are versatile, understated and polished -- wear them with tailored separates or dresses.;100;100;Women;Summer;Patent PU
Kyra Embroidered-Mesh Stiletto Pumps;Shoes;These Kyra pumps in white are made with mesh and feature embroidered flower details, intricate beaded embellishments, sleek pointed toes and elegant flared heels. Perfect for a bridal look, they will also work well for any special-occasion ensemble.;120;120;Women;Summer;Embroidered Mesh
Danni Patent Slingback Pumps;Shoes;These Danni slingback pumps in blush feature a glossy patent finish, rounded square toes, chunky block heels and adjustable slingback straps. Wear them with long fluid dresses to keep your evening look effortlessly elegant and comfortable.;200;250;Women;Summer;Patent PU
Tweed Bow Ballet Pumps ;Shoes;These ballet pumps feature a tweed finish, dainty bow details, chunky block heels, and softly rounded almond toes. Let them bring stylish definition to relaxed jersey pieces and well-worn denim.;130;150;Women;Spring;Tweed
